seed	depth	tool	setting	truth_scope	scoring_unit	truth_gene	pred_gene	TP	FP	FN	precision	recall	F1	unmapped_tx	tied_best_tx
102	50x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	85	75	75	0	10	1	0.8823529411764706	0.9375	NA	NA
102	50x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	85	45	9	36	76	0.2	0.10588235294117647	0.13846153846153847	NA	NA
102	50x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	85	14	7	7	78	0.5	0.08235294117647059	0.1414141414141414	NA	NA
102	50x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	120	278	113	165	7	0.4064748201438849	0.9416666666666667	0.5678391959798995	0	0
102	50x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	15	7	2	5	13	0.2857142857142857	0.13333333333333333	0.18181818181818182	NA	NA
102	50x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	15	14	7	7	8	0.5	0.4666666666666667	0.4827586206896552	NA	NA
102	100x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	85	77	77	0	8	1	0.9058823529411765	0.9506172839506173	NA	NA
102	100x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	85	71	15	56	70	0.2112676056338028	0.17647058823529413	0.19230769230769232	NA	NA
102	100x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	85	18	9	9	76	0.5	0.10588235294117647	0.17475728155339806	NA	NA
102	100x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	120	279	113	166	7	0.4050179211469534	0.9416666666666667	0.5664160401002506	0	0
102	100x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	15	8	3	5	12	0.375	0.2	0.2608695652173913	NA	NA
