Seed	Tool	Depth	Predicted Genes	Truth Genes	TP	FP	FN	Precision	Recall	F1
105	FREDY	100x	317	171	164	153	7	0.5173501577287066	0.95906432748538	0.6721311475409836
105	LIONS	5x	12	30	4	8	26	0.3333333333333333	0.13333333333333333	0.1904761904761905
105	LIONS	10x	12	30	5	7	25	0.4166666666666667	0.16666666666666666	0.23809523809523808
105	LIONS	25x	16	30	6	10	24	0.375	0.2	0.2608695652173913
105	LIONS	50x	18	30	6	12	24	0.3333333333333333	0.2	0.25
105	LIONS	100x	19	30	6	13	24	0.3157894736842105	0.2	0.24489795918367344
105	Arriba	5x	16	139	4	12	135	0.25	0.02877697841726619	0.05161290322580645
105	Arriba	10x	32	139	10	22	129	0.3125	0.07194244604316546	0.11695906432748536
105	Arriba	25x	52	139	15	37	124	0.28846153846153844	0.1079136690647482	0.15706806282722513
105	Arriba	50x	85	139	26	59	113	0.3058823529411765	0.18705035971223025	0.23214285714285715
105	Arriba	100x	125	139	36	89	103	0.288	0.2589928057553957	0.2727272727272727
105	ChimeraTE	5x	11	139	7	4	132	0.6363636363636364	0.05035971223021582	0.09333333333333334
105	ChimeraTE	10x	16	139	11	5	128	0.6875	0.07913669064748201	0.14193548387096774
105	ChimeraTE	25x	20	139	13	7	126	0.65	0.09352517985611512	0.16352201257861634
105	ChimeraTE	50x	21	139	13	8	126	0.6190476190476191	0.09352517985611512	0.1625
105	ChimeraTE	100x	21	139	13	8	126	0.6190476190476191	0.09352517985611512	0.1625
106	TEDDY	5x	59	101	59	0	42	1	0.5841584158415841	0.7375
106	TEDDY	10x	71	101	70	1	31	0.9859154929577464	0.693069306930693	0.813953488372093
106	TEDDY	25x	92	101	92	0	9	1	0.9108910891089108	0.9533678756476685
106	TEDDY	50x	96	101	96	0	5	1	0.9504950495049505	0.9746192893401016
106	TEDDY	100x	99	101	99	0	2	1	0.9801980198019802	0.99
106	TEProf2	5x	17	24	9	8	15	0.5294117647058824	0.375	0.4390243902439024
106	TEProf2	10x	23	24	9	14	15	0.391304347826087	0.375	0.3829787234042553
106	TEProf2	25x	25	24	10	15	14	0.4	0.4166666666666667	0.40816326530612246
106	TEProf2	50x	26	24	10	16	14	0.38461538461538464	0.4166666666666667	0.4
106	TEProf2	100x	25	24	11	14	13	0.44	0.4583333333333333	0.4489795918367347
106	FREDY	5x	257	145	138	119	7	0.5369649805447471	0.9517241379310344	0.6865671641791045
