transcript_id	gene_name	eval_type	n_pairs	n_reads_any	max_TE_cov_frac	max_host_cov_frac	max_pair_cov_frac	n_TE_host_junction_reads_10bp	TE_host_junction_support_10bp	n_TE_host_anchor75_reads	TE_host_anchor75_support
MSTRG.80317.1	Gm11408	multi_exon	16	88022	1	1	1	6253	Yes	746	Yes
MSTRG.37536.1	Phf11a	multi_exon	1	71583	1	1	0.772812	3	Yes	0	-
MSTRG.33180.1	Gm6317	single_exon	45	550366	1	1	0.850309	37750	Yes	0	-
MSTRG.56182.6	Csnk1g3	multi_exon	3	3153	1	1	1	1380	Yes	392	Yes
MSTRG.37536.2	Phf11a	multi_exon	10	60623	1	1	1	15996	Yes	5131	Yes
MSTRG.27777.1	Cpsf2	multi_exon	3	757	1	1	1	44	Yes	26	Yes
MSTRG.34954.4	Abhd6	multi_exon	1	1830	1	1	1	189	Yes	6	Yes
MSTRG.91747.1	MSTRG.91747	single_exon	2	2319	1	1	1	2099	Yes	1715	Yes
MSTRG.112658.1	Kifc3	multi_exon	48	769218	1	1	1	59040	Yes	3322	Yes
MSTRG.51130.1	Olfr759-ps1	multi_exon	1	12128	1	1	0.743728	0	-	0	-
MSTRG.37536.6	Phf11a	multi_exon	4	603	1	1	1	75	Yes	55	Yes
MSTRG.42546.5	Apol7e	multi_exon	1	269	1	1	1	70	Yes	9	Yes
MSTRG.96838.2	RP24-278I6.1	multi_exon	1	2920	1	1	0.953753	139	Yes	1	Yes
MSTRG.121674.11	Drr1	multi_exon	7	46301	1	1	1	243	Yes	113	Yes
MSTRG.91037.12	Gpn3	multi_exon	5	1593	1	1	1	339	Yes	98	Yes
MSTRG.117794.1	Vwa9	multi_exon	3	331	1	1	1	19	Yes	4	Yes
MSTRG.118786.1	Ube2cbp	multi_exon	9	5201	1	1	0.924224	22	Yes	0	-
MSTRG.91137.24	Vps33a	multi_exon	15	43743	1	1	1	1557	Yes	538	Yes
MSTRG.34781.1	AF067061	multi_exon	4	23581	1	1	1	4832	Yes	1641	Yes
MSTRG.68031.2	Gm28450	multi_exon	19	333912	1	1	0.906692	46999	Yes	0	-
MSTRG.34781.2	Gm20767	multi_exon	4	25245	1	1	1	4839	Yes	1473	Yes
ENSMUST00000090853.4	Gm5773	single_exon	3	2744	1	1	1	864	Yes	37	Yes
MSTRG.34781.5	Gm21818	multi_exon	1	5558	1	1	1	3119	Yes	2282	Yes
MSTRG.100902.1	MSTRG.100902	single_exon	6	51170	1	1	0.950037	198	Yes	0	-
MSTRG.34781.6	AF067061	multi_exon	1	8641	1	1	1	191	Yes	16	Yes
ENSMUST00000196145.3	RP24-152F23.2	multi_exon	1	1260	1	1	0.979275	4	Yes	3	Yes
MSTRG.107229.3	Ctf2	multi_exon	37	556739	1	1	1	48488	Yes	2723	Yes
MSTRG.16699.8	Papolg	multi_exon	1	394	1	1	1	54	Yes	42	Yes
MSTRG.82036.1	Gpbp1l1	multi_exon	2	38429	1	1	1	84	Yes	5	Yes
MSTRG.14195.1	Gm24745	single_exon	9	121684	1	1	1	31681	Yes	3295	Yes
MSTRG.117463.19	Neo1	multi_exon	1	40090	1	1	1	495	Yes	5	Yes
MSTRG.25934.4	Gm7719	multi_exon	21	7906	1	1	1	713	Yes	95	Yes
MSTRG.49539.1	Vmn1r227	multi_exon	28	209289	1	1	1	29924	Yes	275	Yes
ENSMUST00000160351.1	Gm16243	multi_exon	1	342	1	1	1	199	Yes	158	Yes
MSTRG.82036.5	Gpbp1l1	multi_exon	10	64841	1	1	1	3966	Yes	903	Yes
MSTRG.74221.3	Gm5286	multi_exon	1	4328	1	1	1	2120	Yes	1748	Yes
MSTRG.74221.4	Gm9124	multi_exon	1	8582	1	1	1	2141	Yes	219	Yes
MSTRG.29233.2	Chrm3	multi_exon	13	370666	1	1	1	85236	Yes	1740	Yes
MSTRG.100256.2	Gm15762	multi_exon	13	361670	1	1	1	79896	Yes	3837	Yes
MSTRG.18391.1	Olfr329-ps	multi_exon	1	63	1	1	0.793893	6	Yes	0	-
MSTRG.3715.38	C130026I21Rik	multi_exon	8	47170	1	1	1	1568	Yes	531	Yes
MSTRG.19548.2	Olfr376	multi_exon	1	422	1	1	1	185	Yes	9	Yes
MSTRG.3715.39	Sp110	multi_exon	25	87042	1	1	1	5043	Yes	244	Yes
MSTRG.98580.1	Gm7292	multi_exon	29	159417	1	1	0.968344	17108	Yes	0	-
MSTRG.85839.2	RP23-465P18.1	multi_exon	5	2524	1	1	1	745	Yes	368	Yes
MSTRG.60739.4	Calhm3	multi_exon	6	8	1	1	1	4	Yes	2	Yes
MSTRG.44550.1	Gm22862	multi_exon	46	312031	1	1	1	3484	Yes	67	Yes
MSTRG.84476.6	Pramef25	multi_exon	34	16367	1	1	1	1132	Yes	69	Yes
MSTRG.44550.3	Gm22862	multi_exon	64	693263	1	1	1	27998	Yes	104	Yes
MSTRG.84476.7	Pramef25	multi_exon	5	2074	1	1	1	190	Yes	3	Yes
MSTRG.111069.6	Trim60	multi_exon	11	48179	1	1	1	197	Yes	38	Yes
MSTRG.84476.8	Pramef25	multi_exon	29	11781	1	1	1	936	Yes	116	Yes
MSTRG.111069.7	Trim75	multi_exon	44	101016	1	1	1	1586	Yes	83	Yes
