transcript_id	gene_name	eval_type	n_pairs	n_reads_any	max_TE_cov_frac	max_host_cov_frac	max_pair_cov_frac	n_TE_host_junction_reads_10bp	TE_host_junction_support_10bp	n_TE_host_anchor75_reads	TE_host_anchor75_support
MSTRG.68677.1	Lbp	multi_exon	16	319859	1	1	1	60317	Yes	6487	Yes
MSTRG.37701.8	Fam124a	multi_exon	9	23	1	1	0.957746	2	Yes	0	-
MSTRG.83446.1	Wdtc1	multi_exon	16	6268	1	1	1	982	Yes	331	Yes
MSTRG.37701.9	Fam124a	multi_exon	9	20	1	1	0.957746	2	Yes	0	-
MSTRG.3593.1	Gm22112	multi_exon	10	56343	1	1	1	13334	Yes	7894	Yes
MSTRG.76269.1	Gm25042	multi_exon	1	13612	1	0.169874	0.166298	139	Yes	0	-
MSTRG.13935.2	Gm16239	multi_exon	1	1161	1	1	0.926335	232	Yes	3	Yes
MSTRG.3593.4	Gm22112	multi_exon	91	2111694	1	1	1	112474	Yes	3506	Yes
MSTRG.13935.3	Gm16239	multi_exon	1	1161	1	1	0.926335	232	Yes	3	Yes
MSTRG.36548.1	Gm15218	multi_exon	13	99475	1	1	1	12924	Yes	372	Yes
MSTRG.76269.4	Gm25042	multi_exon	1	918	1	1	0.854418	107	Yes	0	-
MSTRG.89209.1	MSTRG.89209	multi_exon	7	213443	1	1	1	183	Yes	71	Yes
MSTRG.36548.2	Gm15218	multi_exon	10	11355	1	1	1	1545	Yes	956	Yes
MSTRG.81279.5	B020004J07Rik	multi_exon	1	1546	1	1	1	296	Yes	3	Yes
MSTRG.55622.1	Prelid2	multi_exon	16	82983	1	1	1	9760	Yes	554	Yes
ENSMUST00000110147.2	Gm2016	multi_exon	5	71130	1	1	1	40121	Yes	19927	Yes
MSTRG.124816.1	Gm6285	multi_exon	1	331	1	1	0.504386	0	-	0	-
MSTRG.18523.1	Gm12714	multi_exon	4	3748	1	1	1	108	Yes	24	Yes
MSTRG.95571.3	RP24-238J9.3	multi_exon	2	11360	1	1	0.951663	2315	Yes	1	Yes
MSTRG.79473.1	Gm12475	multi_exon	22	12390	1	1	1	1546	Yes	11	Yes
MSTRG.52126.5	Nudt12	multi_exon	1	470	1	1	0.717647	1	Yes	0	-
MSTRG.38608.25	Diap3	multi_exon	1	4399	1	1	0.633588	2	Yes	0	-
MSTRG.38608.26	Diap3	multi_exon	10	37676	1	1	1	8320	Yes	2561	Yes
MSTRG.38608.27	Diap3	multi_exon	14	47886	1	1	1	8532	Yes	192	Yes
MSTRG.89185.1	RP23-173B14.3	multi_exon	14	1614	1	1	1	104	Yes	6	Yes
MSTRG.47029.1	BC027231	multi_exon	16	235156	1	1	1	30058	Yes	3049	Yes
MSTRG.47029.2	BC027231	multi_exon	2	18740	1	1	1	57	Yes	48	Yes
MSTRG.81289.2	Gm12790	multi_exon	4	172242	1	1	1	2690	Yes	22	Yes
MSTRG.94886.2	Svopl	multi_exon	59	84046	1	1	0.90583	1188	Yes	3	Yes
MSTRG.94886.3	Svopl	multi_exon	1	277	1	1	1	150	Yes	91	Yes
MSTRG.74146.1	Gm4858	multi_exon	1	1956	1	0.856491	0.828631	759	Yes	0	-
ENSMUST00000197530.1	RP23-209N19.1	single_exon	8	1172	1	1	1	160	Yes	28	Yes
MSTRG.16943.1	Gm12088	multi_exon	1	2234	1	1	0.757252	7	Yes	0	-
MSTRG.88158.3	Kctd8	multi_exon	4	55073	1	1	0.967433	24827	Yes	0	-
MSTRG.88158.4	Kctd8	multi_exon	10	23342	1	1	1	4840	Yes	1457	Yes
MSTRG.113668.12	Wwox	multi_exon	2	326	0.497596	1	0.723036	0	-	0	-
MSTRG.66376.1	Fam98b	multi_exon	1	1007	1	1	1	153	Yes	3	Yes
